@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
350000 , 3 , 3 , 1244 , 281.350494 , 13.3800001
289900 , 2 , 1 , 1135 , 255.418503 , 13.3800001
450000 , 3 , 2 , 1484 , 303.234497 , 13.3800001
519900 , 3 , 3 , 1815 , 286.446289 , 13.3800001
979000 , 3 , 3 , 2040 , 479.901947 , 13.3800001
1500000 , 3 , 3 , 2500 , 600 , 13.3800001
149000 , 1 , 2 , 400 , 372.5 , 21.4200001
250000 , 2 , 1 , 883 , 283.125702 , 21.4200001
239000 , 3 , 1 , 888 , 269.144135 , 21.4200001
250000 , 3 , 1 , 1000 , 250 , 21.4200001
260000 , 2 , 1 , 990 , 262.626251 , 21.4200001
310000 , 2 , 1 , 1100 , 281.818176 , 21.4200001
350000 , 3 , 2 , 1088 , 321.691162 , 21.4200001
329900 , 3 , 2 , 1104 , 298.822449 , 21.4200001
315000 , 3 , 2 , 1176 , 267.857147 , 21.4200001
320000 , 3 , 2 , 1176 , 272.108856 , 21.4200001
324100 , 3 , 3 , 1152 , 281.336792 , 21.4200001
329000 , 3 , 2 , 1283 , 256.430237 , 21.4200001
225000 , 3 , 2 , 1240 , 181.451614 , 21.4200001
380000 , 4 , 2 , 1300 , 292.307678 , 21.4200001
369000 , 3 , 2 , 1316 , 280.395142 , 21.4200001
199000 , 2 , 1 , 1248 , 159.455124 , 21.4200001
378000 , 3 , 2 , 1300 , 290.769226 , 21.4200001
249000 , 3 , 2 , 1280 , 194.53125 , 21.4200001
310000 , 2 , 2 , 1248 , 248.39743 , 21.4200001
265000 , 3 , 3 , 1259 , 210.484512 , 21.4200001
459900 , 3 , 2 , 1294 , 355.409576 , 21.4200001
295000 , 3 , 2 , 1356 , 217.55162 , 21.4200001
399000 , 3 , 2 , 1288 , 309.782623 , 21.4200001
369500 , 3 , 2 , 1316 , 280.775085 , 21.4200001
282000 , 3 , 2 , 1351 , 208.734268 , 21.4200001
285000 , 2 , 2 , 1351 , 210.954849 , 21.4200001
239000 , 3 , 2 , 1354 , 176.514038 , 21.4200001
300000 , 3 , 2 , 1368 , 219.298248 , 21.4200001
324999 , 3 , 2 , 1372 , 236.87973 , 21.4200001
415000 , 3 , 2 , 1400 , 296.428558 , 21.4200001
324900 , 3 , 2 , 1404 , 231.410263 , 21.4200001
535000 , 3 , 2 , 1400 , 382.142853 , 21.4200001
399000 , 3 , 2 , 1440 , 277.083344 , 21.4200001
209900 , 3 , 2 , 1440 , 145.763885 , 21.4200001
425900 , 3 , 2 , 1470 , 289.727905 , 21.4200001
320000 , 3 , 2 , 1473 , 217.243713 , 21.4200001
397900 , 3 , 2 , 1481 , 268.66983 , 21.4200001
375000 , 3 , 2 , 1489 , 251.846878 , 21.4200001
344000 , 3 , 2 , 1536 , 223.958328 , 21.4200001
259000 , 3 , 2 , 1530 , 169.281052 , 21.4200001
370000 , 3 , 2 , 1556 , 237.7892 , 21.4200001
400000 , 3 , 2 , 1620 , 246.913574 , 21.4200001
395000 , 3 , 2 , 1630 , 242.331284 , 21.4200001
400000 , 3 , 2 , 1640 , 243.902435 , 21.4200001
399000 , 3 , 2 , 1657 , 240.796616 , 21.4200001
367000 , 3 , 2 , 1664 , 220.552887 , 21.4200001
500000 , 3 , 2 , 1670 , 299.401184 , 21.4200001
405000 , 3 , 2 , 1698 , 238.5159 , 21.4200001
325000 , 3 , 2 , 1680 , 193.452377 , 21.4200001
525000 , 3 , 2 , 1700 , 308.823517 , 21.4200001
449000 , 3 , 2 , 1715 , 261.807587 , 21.4200001
384000 , 3 , 2 , 1781 , 215.609207 , 21.4200001
375000 , 3 , 2 , 1768 , 212.104065 , 21.4200001
510000 , 4 , 3 , 1800 , 283.333344 , 21.4200001
989000 , 3 , 2 , 1800 , 549.444458 , 21.4200001
575000 , 4 , 2 , 1862 , 308.807739 , 21.4200001
945000 , 3 , 3 , 1888 , 500.529663 , 21.4200001
435000 , 4 , 2 , 1897 , 229.309433 , 21.4200001
2490000 , 3 , 4 , 1876 , 1327.29211 , 21.4200001
450000 , 4 , 3 , 1900 , 236.842102 , 21.4200001
444900 , 3 , 2 , 1890 , 235.39682 , 21.4200001
579000 , 4 , 2 , 1949 , 297.075409 , 21.4200001
425000 , 3 , 2 , 1953 , 217.613922 , 21.4200001
469900 , 3 , 2 , 1970 , 238.527924 , 21.4200001
410000 , 3 , 3 , 1992 , 205.823288 , 21.4200001
399990 , 4 , 3 , 2000 , 199.994995 , 21.4200001
439000 , 4 , 2 , 2053 , 213.83342 , 21.4200001
895000 , 4 , 2 , 2025 , 441.975311 , 21.4200001
399000 , 4 , 2 , 2088 , 191.091949 , 21.4200001
410000 , 3 , 2 , 2096 , 195.610687 , 21.4200001
465000 , 3 , 2 , 2114 , 219.962158 , 21.4200001
770000 , 4 , 2 , 2136 , 360.486877 , 21.4200001
379000 , 3 , 3 , 2140 , 177.102798 , 21.4200001
509000 , 4 , 2 , 2144 , 237.406723 , 21.4200001
499900 , 3 , 3 , 2151 , 232.403534 , 21.4200001
435500 , 4 , 2 , 2171 , 200.598801 , 21.4200001
452000 , 4 , 3 , 2200 , 205.454544 , 21.4200001
535000 , 3 , 3 , 2189 , 244.403839 , 21.4200001
565000 , 3 , 2 , 2231 , 253.249664 , 21.4200001
825000 , 3 , 3 , 2278 , 362.15979 , 21.4200001
559000 , 4 , 3 , 2310 , 241.991348 , 21.4200001
549000 , 4 , 3 , 2349 , 233.716476 , 21.4200001
615000 , 3 , 2 , 2392 , 257.107025 , 21.4200001
529000 , 3 , 2 , 2457 , 215.303223 , 21.4200001
525000 , 4 , 3 , 2498 , 210.168137 , 21.4200001
885000 , 3 , 3 , 2499 , 354.141663 , 21.4200001
639900 , 5 , 3 , 2721 , 235.170898 , 21.4200001
825000 , 5 , 3 , 2764 , 298.480469 , 21.4200001
564900 , 4 , 3 , 2807 , 201.246887 , 21.4200001
485000 , 4 , 3 , 3046 , 159.22522 , 21.4200001
620000 , 4 , 3 , 3068 , 202.086044 , 21.4200001
1350000 , 4 , 3 , 3131 , 431.17215 , 21.4200001
569000 , 5 , 3 , 3145 , 180.922104 , 21.4200001
849000 , 4 , 3 , 3168 , 267.992432 , 21.4200001
535000 , 5 , 6 , 3700 , 144.594589 , 21.4200001
610000 , 2 , 1 , 624 , 977.564087 , 36.9000015
675000 , 2 , 1 , 850 , 794.117676 , 36.9000015
425000 , 2 , 2 , 1188 , 357.74411 , 36.9000015
795000 , 3 , 2 , 1312 , 605.945129 , 36.9000015
754000 , 3 , 2 , 1400 , 538.571411 , 36.9000015
835000 , 2 , 2 , 1389 , 601.151917 , 36.9000015
650000 , 2 , 3 , 1786 , 363.941772 , 36.9000015
700000 , 3 , 2 , 1749 , 400.228699 , 36.9000015
1400000 , 3 , 4 , 2000 , 700 , 36.9000015
799000 , 3 , 3 , 2028 , 393.984222 , 36.9000015
1295000 , 3 , 3 , 2118 , 611.425903 , 36.9000015
770000 , 3 , 2 , 2021 , 380.999512 , 36.9000015
1279000 , 2 , 2 , 2218 , 576.64563 , 36.9000015
774888 , 3 , 3 , 2107 , 367.768402 , 36.9000015
824900 , 3 , 3 , 2647 , 311.635803 , 36.9000015
949000 , 3 , 3 , 2535 , 374.358978 , 36.9000015
1195000 , 3 , 3 , 2716 , 439.98526 , 36.9000015
1599000 , 4 , 4 , 3900 , 410 , 36.9000015
309500 , 2 , 2 , 966 , 320.393372 , 47.3699989
419000 , 2 , 2 , 958 , 437.369507 , 47.3699989
550000 , 3 , 2 , 1160 , 474.137939 , 47.3699989
459000 , 2 , 2 , 1193 , 384.744354 , 47.3699989
225000 , 3 , 2 , 1284 , 175.233643 , 47.3699989
155000 , 3 , 2 , 1368 , 113.304092 , 47.3699989
599000 , 3 , 2 , 1400 , 427.857147 , 47.3699989
759000 , 3 , 2 , 1400 , 542.142883 , 47.3699989
728234 , 3 , 3 , 1500 , 485.489319 , 47.3699989
509000 , 4 , 2 , 1542 , 330.09079 , 47.3699989
599000 , 2 , 3 , 1657 , 361.496674 , 47.3699989
439999 , 3 , 2 , 1658 , 265.379364 , 47.3699989
499500 , 3 , 3 , 1742 , 286.73938 , 47.3699989
734900 , 3 , 2 , 2100 , 349.952393 , 47.3699989
1595000 , 3 , 3 , 3182 , 501.25708 , 47.3699989
1499500 , 3 , 3 , 3589 , 417.804413 , 47.3699989
1750000 , 5 , 5 , 4192 , 417.461823 , 47.3699989
210000 , 3 , 1 , 900 , 233.333328 , 47.3699989
598000 , 3 , 2 , 1186 , 504.215851 , 41.6699982
625000 , 3 , 2 , 1186 , 526.981445 , 41.6699982
588500 , 3 , 2 , 1200 , 490.416656 , 41.6699982
319000 , 3 , 2 , 1356 , 235.250732 , 41.6699982
598000 , 3 , 2 , 1356 , 441.00296 , 41.6699982
320000 , 3 , 2 , 1451 , 220.537567 , 41.6699982
645000 , 3 , 2 , 1493 , 432.016083 , 41.6699982
299000 , 3 , 2 , 1503 , 198.935455 , 41.6699982
439500 , 4 , 2 , 1600 , 274.6875 , 41.6699982
479900 , 3 , 3 , 2048 , 234.326172 , 41.6699982
469900 , 4 , 2 , 2400 , 195.791672 , 41.6699982
699000 , 3 , 3 , 2890 , 241.868515 , 41.6699982
779000 , 3 , 2 , 1749 , 445.397369 , 40.0600014
1800000 , 4 , 2 , 2000 , 900 , 40.0600014
640000 , 3 , 2 , 2178 , 293.847565 , 40.0600014
950000 , 5 , 4 , 2338 , 406.3302 , 40.0600014
1695000 , 4 , 4 , 2684 , 631.520142 , 40.0600014
387000 , 5 , 3 , 2400 , 161.25 , 3.19000006
279000 , 4 , 2 , 1369 , 203.798386 , 3.19000006
375000 , 4 , 2 , 1900 , 197.368423 , 12.8500004
52500 , 2 , 2 , 1152 , 45.5729179 , 12.8500004
545500 , 5 , 4 , 3140 , 173.72612 , 12.8500004
394900 , 4 , 2 , 1719 , 229.726578 , 12.8500004
