@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
4 , 205.972229 , 4.92999983
4 , 182.541275 , 4.92999983
4 , 186.491074 , 4.92999983
3 , 229.405624 , 4.92999983
3 , 269.970428 , 4.92999983
3 , 217.205017 , 4.92999983
3 , 220.714279 , 4.92999983
3 , 40.9722214 , 4.92999983
4 , 178.508774 , 4.92999983
3 , 212.037033 , 4.92999983
4 , 197.923431 , 4.92999983
4 , 214.455444 , 4.92999983
3 , 272.727264 , 4.92999983
4 , 210.024002 , 4.92999983
4 , 309.226929 , 4.92999983
3 , 198.316177 , 4.92999983
3 , 227.203644 , 4.92999983
2 , 181.734314 , 4.92999983
5 , 313.715698 , 4.92999983
4 , 299.581879 , 4.92999983
4 , 473.962585 , 4.92999983
5 , 209.026123 , 4.92999983
4 , 325.691406 , 4.92999983
2 , 323.48111 , 5.46999979
4 , 294.943817 , 1.45000005
3 , 319.745209 , 1.45000005
5 , 230.882355 , 1.45000005
3 , 493.670898 , 1.29999995
3 , 424.3125 , 1.29999995
2 , 433.333344 , 1.29999995
3 , 490.554169 , 1.29999995
3 , 357.515137 , 1.29999995
3 , 257.931854 , 1.29999995
4 , 375.34549 , 1.29999995
2 , 577.051941 , 1.29999995
4 , 302.678131 , 1.29999995
3 , 262.777496 , 1.29999995
3 , 344.565216 , 1.29999995
3 , 674.479187 , 1.29999995
3 , 692.307678 , 1.29999995
2 , 415.682556 , 1.29999995
4 , 1105.14685 , 1.29999995
4 , 281.21875 , 1.29999995
3 , 375.076538 , 1.29999995
4 , 245.901642 , 1.29999995
4 , 507.690063 , 1.29999995
