@RELATION test
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 


@DATA 
3 , 3 , 1.29999995 , 25849
3 , 2 , 1.29999995 , 25849
2 , 2 , 1.29999995 , 25849
3 , 2 , 1.29999995 , 25849
3 , 2 , 1.29999995 , 25849
3 , 3 , 1.29999995 , 25849
4 , 2 , 1.29999995 , 25849
2 , 1 , 1.29999995 , 7674
4 , 2 , 1.29999995 , 7674
3 , 2 , 1.29999995 , 7674
3 , 2 , 1.29999995 , 7674
3 , 2 , 1.29999995 , 7674
3 , 2 , 1.29999995 , 7674
2 , 3 , 1.29999995 , 7674
4 , 3 , 1.29999995 , 7674
4 , 4 , 1.29999995 , 7674
3 , 4 , 1.29999995 , 7674
4 , 5 , 1.29999995 , 7674
4 , 6 , 1.29999995 , 7674
