@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 


@DATA 
1595000 , 3 , 3 , 501.25708
1499500 , 3 , 3 , 417.804413
1750000 , 5 , 5 , 417.461823
210000 , 3 , 1 , 233.333328
598000 , 3 , 2 , 504.215851
625000 , 3 , 2 , 526.981445
588500 , 3 , 2 , 490.416656
319000 , 3 , 2 , 235.250732
598000 , 3 , 2 , 441.00296
320000 , 3 , 2 , 220.537567
645000 , 3 , 2 , 432.016083
299000 , 3 , 2 , 198.935455
439500 , 4 , 2 , 274.6875
479900 , 3 , 3 , 234.326172
469900 , 4 , 2 , 195.791672
699000 , 3 , 3 , 241.868515
779000 , 3 , 2 , 445.397369
1800000 , 4 , 2 , 900
640000 , 3 , 2 , 293.847565
950000 , 5 , 4 , 406.3302
1695000 , 4 , 4 , 631.520142
387000 , 5 , 3 , 161.25
279000 , 4 , 2 , 203.798386
375000 , 4 , 2 , 197.368423
52500 , 2 , 2 , 45.5729179
545500 , 5 , 4 , 173.72612
394900 , 4 , 2 , 229.726578
259900 , 2 , 2 , 241.09462
390000 , 3 , 2 , 163.796722
319000 , 3 , 2 , 221.22052
319000 , 2 , 2 , 245.384613
35000 , 2 , 2 , 30.7017536
449900 , 3 , 2 , 216.090302
323900 , 3 , 1 , 258.499603
359000 , 4 , 2 , 245.890411
289900 , 3 , 2 , 207.071426
415000 , 3 , 2 , 234.066559
365000 , 3 , 2 , 275.47171
337000 , 3 , 2 , 252.056839
430000 , 3 , 2 , 265.596039
337500 , 3 , 2 , 300.266907
335000 , 3 , 2 , 281.512604
468000 , 4 , 3 , 222.11676
379000 , 4 , 2 , 287.993927
388000 , 3 , 2 , 308.426086
525000 , 3 , 2 , 228.260864
344900 , 3 , 3 , 193.113098
425000 , 3 , 2 , 265.127899
189900 , 2 , 2 , 172.636368
459900 , 4 , 3 , 195.535721
349000 , 4 , 2 , 270.962738
559000 , 4 , 3 , 217.594391
585000 , 4 , 3 , 224.481964
499900 , 4 , 3 , 254.272629
405000 , 3 , 3 , 218.68251
359000 , 3 , 3 , 232.212158
473500 , 3 , 3 , 220.130173
409000 , 4 , 3 , 217.784882
379000 , 3 , 2 , 304.417664
33000 , 1 , 2 , 33
388000 , 3 , 2 , 211.79039
155000 , 2 , 1 , 175.736969
895000 , 3 , 2 , 569.33844
275000 , 3 , 2 , 192.982452
265000 , 3 , 3 , 167.721512
399900 , 4 , 3 , 181.525192
425000 , 3 , 2 , 338.645416
699000 , 2 , 3 , 488.811188
439900 , 4 , 3 , 191.677567
324500 , 2 , 2 , 281.928772
549000 , 4 , 3 , 186.417664
445000 , 3 , 2 , 232.012512
359900 , 4 , 3 , 209.487778
359000 , 3 , 2 , 233.420029
469000 , 4 , 2 , 226.67955
325000 , 3 , 2 , 249.233124
300900 , 3 , 2 , 215.698929
454999 , 4 , 3 , 198.256638
462990 , 2 , 2 , 292.476318
19900 , 2 , 2 , 18.844696
1190000 , 3 , 3 , 299.672638
750000 , 3 , 1 , 791.139221
490000 , 5 , 3 , 196
367990 , 3 , 2 , 334.536377
355000 , 4 , 2 , 201.590012
1150000 , 4 , 4 , 306.666656
694500 , 3 , 3 , 285.567444
569900 , 4 , 3 , 221.234467
42500 , 3 , 2 , 27.1912994
429900 , 3 , 3 , 276.997437
210000 , 3 , 2 , 140.845078
310000 , 3 , 2 , 267.934326
359900 , 3 , 2 , 219.183929
347500 , 3 , 2 , 225.064774
644900 , 3 , 3 , 216.409393
323000 , 3 , 3 , 165.471313
375000 , 2 , 3 , 207.756226
349900 , 4 , 3 , 140.240479
241680 , 4 , 2 , 164.520081
354999 , 3 , 3 , 184.799057
299000 , 3 , 2 , 276.851837
300000 , 3 , 2 , 284.900299
389000 , 4 , 2 , 222.667435
225000 , 2 , 2 , 217.601547
259900 , 3 , 2 , 244.266922
379999 , 3 , 2 , 207.876907
699000 , 5 , 3 , 218.505783
195000 , 3 , 2 , 159.053833
349000 , 3 , 2 , 196.067413
542000 , 3 , 2 , 303.811646
269000 , 4 , 2 , 196.207153
280000 , 3 , 2 , 241.796204
529000 , 4 , 3 , 215.478622
55000 , 3 , 2 , 47.7430573
309000 , 3 , 2 , 245.238098
199900 , 2 , 2 , 213.796799
510000 , 3 , 2 , 266.179535
424900 , 3 , 2 , 221.302078
399900 , 3 , 2 , 286.666656
379900 , 4 , 2 , 288.677826
459900 , 4 , 3 , 199.782791
389900 , 3 , 2 , 278.5
1200000 , 5 , 3 , 336.13446
468000 , 4 , 3 , 215.668198
419000 , 4 , 3 , 248.07579
599900 , 4 , 3 , 273.302948
289900 , 3 , 3 , 201.319443
399000 , 3 , 2 , 247.518616
1000000 , 4 , 4 , 316.455688
725000 , 3 , 3 , 265.47052
473000 , 3 , 3 , 219.89772
400500 , 3 , 3 , 216.252701
430000 , 3 , 3 , 277.061859
394920 , 3 , 2 , 211.413269
374000 , 4 , 3 , 244.604309
435000 , 3 , 2 , 226.798752
295000 , 3 , 2 , 231.554153
425000 , 3 , 3 , 233.004379
267191 , 3 , 2 , 216.875809
530000 , 4 , 3 , 218.556702
529000 , 5 , 3 , 182.288071
409000 , 4 , 3 , 218.950745
70000 , 2 , 2 , 52.0833321
550000 , 5 , 3 , 207.703934
269900 , 3 , 2 , 159.893372
264900 , 3 , 1 , 268.117401
155000 , 2 , 2 , 159.958725
218900 , 3 , 2 , 186.93425
259900 , 3 , 2 , 222.707794
479000 , 3 , 2 , 228.967499
425000 , 3 , 3 , 218.621399
274744 , 3 , 2 , 247.51712
299500 , 3 , 2 , 269.819824
339000 , 3 , 2 , 180.800003
475000 , 3 , 2 , 277.129517
299900 , 3 , 2 , 214.520737
800000 , 3 , 3 , 490.496613
198000 , 3 , 2 , 166.246857
299900 , 3 , 2 , 223.472427
373000 , 3 , 3 , 183.022568
322000 , 3 , 2 , 248.456787
275000 , 3 , 2 , 272.817474
221000 , 3 , 2 , 187.288132
344900 , 3 , 2 , 181.909286
222000 , 3 , 2 , 193.886459
295000 , 3 , 2 , 178.355499
575500 , 2 , 1 , 995.674744
519900 , 5 , 3 , 236.318176
385000 , 3 , 2 , 214.126801
243000 , 4 , 3 , 164.522675
299999 , 3 , 2 , 211.266907
299000 , 3 , 2 , 213.266769
559000 , 3 , 3 , 212.224747
208900 , 3 , 2 , 178.394531
289900 , 3 , 2 , 198.425735
829900 , 6 , 4 , 258.294434
340000 , 3 , 2 , 198.135193
509000 , 4 , 3 , 278.14209
335500 , 4 , 3 , 191.168091
285500 , 3 , 2 , 226.407608
217000 , 3 , 2 , 174.858978
72995 , 3 , 2 , 42.3896637
