@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE pricesqrf NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE income NUMERIC 


@DATA 
350000 , 3 , 2 , 1106 , 316.455688 , 2.63000011 , 16714 , 26052
374900 , 3 , 1 , 1100 , 340.818176 , 2.63000011 , 16714 , 26052
380000 , 3 , 2 , 1128 , 336.879425 , 2.63000011 , 16714 , 26052
680000 , 2 , 2 , 1200 , 566.666687 , 2.63000011 , 16714 , 26052
425000 , 4 , 2 , 1284 , 330.996887 , 2.63000011 , 16714 , 26052
345000 , 4 , 2 , 1344 , 256.696442 , 2.63000011 , 16714 , 26052
550000 , 3 , 2 , 1328 , 414.156616 , 2.63000011 , 16714 , 26052
449000 , 3 , 3 , 1655 , 271.299103 , 2.63000011 , 16714 , 26052
474900 , 4 , 2 , 1600 , 296.8125 , 2.63000011 , 16714 , 26052
499000 , 3 , 2 , 1650 , 302.424255 , 2.63000011 , 16714 , 26052
419900 , 4 , 2 , 1638 , 256.349213 , 2.63000011 , 16714 , 26052
499000 , 3 , 2 , 1796 , 277.83963 , 2.63000011 , 16714 , 26052
499000 , 4 , 2 , 1838 , 271.490753 , 2.63000011 , 16714 , 26052
595000 , 3 , 3 , 1982 , 300.201813 , 2.63000011 , 16714 , 26052
569000 , 4 , 2 , 1933 , 294.361084 , 2.63000011 , 16714 , 26052
599900 , 4 , 2 , 1996 , 300.551117 , 2.63000011 , 16714 , 26052
775000 , 2 , 2 , 2005 , 386.533661 , 2.63000011 , 16714 , 26052
469000 , 4 , 2 , 2030 , 231.034485 , 2.63000011 , 16714 , 26052
399000 , 4 , 2 , 2144 , 186.100754 , 2.63000011 , 16714 , 26052
800000 , 4 , 2 , 2329 , 343.495056 , 2.63000011 , 16714 , 26052
1100000 , 3 , 3 , 2430 , 452.674896 , 2.63000011 , 16714 , 26052
799000 , 4 , 3 , 2544 , 314.072327 , 2.63000011 , 16714 , 26052
699000 , 7 , 5 , 2700 , 258.888885 , 2.63000011 , 16714 , 26052
924900 , 3 , 3 , 2846 , 324.982422 , 2.63000011 , 16714 , 26052
929000 , 5 , 3 , 3080 , 301.623383 , 2.63000011 , 16714 , 26052
699000 , 4 , 4 , 3289 , 212.526611 , 2.63000011 , 16714 , 26052
1199000 , 3 , 3 , 3645 , 328.943756 , 2.63000011 , 16714 , 26052
1188000 , 3 , 5 , 4556 , 260.755035 , 2.63000011 , 16714 , 26052
1479000 , 4 , 4 , 4962 , 298.065308 , 2.63000011 , 16714 , 26052
495000 , 2 , 1 , 800 , 618.75 , 5 , 7286 , 19314
235000 , 2 , 2 , 900 , 261.111115 , 5 , 7286 , 19314
350000 , 2 , 1 , 989 , 353.892822 , 5 , 7286 , 19314
269900 , 2 , 2 , 974 , 277.104736 , 5 , 7286 , 19314
152000 , 3 , 2 , 1200 , 126.666664 , 5 , 7286 , 19314
350000 , 3 , 3 , 1244 , 281.350494 , 5 , 7286 , 19314
289900 , 2 , 1 , 1135 , 255.418503 , 5 , 7286 , 19314
450000 , 3 , 2 , 1484 , 303.234497 , 5 , 7286 , 19314
519900 , 3 , 3 , 1815 , 286.446289 , 5 , 7286 , 19314
979000 , 3 , 3 , 2040 , 479.901947 , 5 , 7286 , 19314
1500000 , 3 , 3 , 2500 , 600 , 5 , 7286 , 19314
149000 , 1 , 2 , 400 , 372.5 , 3.44000006 , 30857 , 27967
250000 , 2 , 1 , 883 , 283.125702 , 3.44000006 , 30857 , 27967
