@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 


@DATA 
599900 , 4 , 1996 , 2.63000011
775000 , 2 , 2005 , 2.63000011
469000 , 4 , 2030 , 2.63000011
399000 , 4 , 2144 , 2.63000011
800000 , 4 , 2329 , 2.63000011
1100000 , 3 , 2430 , 2.63000011
799000 , 4 , 2544 , 2.63000011
699000 , 7 , 2700 , 2.63000011
924900 , 3 , 2846 , 2.63000011
929000 , 5 , 3080 , 2.63000011
699000 , 4 , 3289 , 2.63000011
1199000 , 3 , 3645 , 2.63000011
1188000 , 3 , 4556 , 2.63000011
1479000 , 4 , 4962 , 2.63000011
495000 , 2 , 800 , 5
235000 , 2 , 900 , 5
350000 , 2 , 989 , 5
269900 , 2 , 974 , 5
152000 , 3 , 1200 , 5
350000 , 3 , 1244 , 5
289900 , 2 , 1135 , 5
450000 , 3 , 1484 , 5
519900 , 3 , 1815 , 5
979000 , 3 , 2040 , 5
1500000 , 3 , 2500 , 5
149000 , 1 , 400 , 3.44000006
250000 , 2 , 883 , 3.44000006
239000 , 3 , 888 , 3.44000006
250000 , 3 , 1000 , 3.44000006
260000 , 2 , 990 , 3.44000006
310000 , 2 , 1100 , 3.44000006
350000 , 3 , 1088 , 3.44000006
329900 , 3 , 1104 , 3.44000006
315000 , 3 , 1176 , 3.44000006
320000 , 3 , 1176 , 3.44000006
324100 , 3 , 1152 , 3.44000006
329000 , 3 , 1283 , 3.44000006
225000 , 3 , 1240 , 3.44000006
380000 , 4 , 1300 , 3.44000006
369000 , 3 , 1316 , 3.44000006
199000 , 2 , 1248 , 3.44000006
378000 , 3 , 1300 , 3.44000006
249000 , 3 , 1280 , 3.44000006
310000 , 2 , 1248 , 3.44000006
265000 , 3 , 1259 , 3.44000006
459900 , 3 , 1294 , 3.44000006
295000 , 3 , 1356 , 3.44000006
399000 , 3 , 1288 , 3.44000006
369500 , 3 , 1316 , 3.44000006
282000 , 3 , 1351 , 3.44000006
285000 , 2 , 1351 , 3.44000006
239000 , 3 , 1354 , 3.44000006
300000 , 3 , 1368 , 3.44000006
324999 , 3 , 1372 , 3.44000006
415000 , 3 , 1400 , 3.44000006
324900 , 3 , 1404 , 3.44000006
535000 , 3 , 1400 , 3.44000006
399000 , 3 , 1440 , 3.44000006
209900 , 3 , 1440 , 3.44000006
425900 , 3 , 1470 , 3.44000006
320000 , 3 , 1473 , 3.44000006
397900 , 3 , 1481 , 3.44000006
375000 , 3 , 1489 , 3.44000006
344000 , 3 , 1536 , 3.44000006
259000 , 3 , 1530 , 3.44000006
370000 , 3 , 1556 , 3.44000006
400000 , 3 , 1620 , 3.44000006
395000 , 3 , 1630 , 3.44000006
400000 , 3 , 1640 , 3.44000006
399000 , 3 , 1657 , 3.44000006
367000 , 3 , 1664 , 3.44000006
500000 , 3 , 1670 , 3.44000006
405000 , 3 , 1698 , 3.44000006
