@RELATION test
@ATTRIBUTE price NUMERIC 
@ATTRIBUTE beds NUMERIC 
@ATTRIBUTE baths NUMERIC 
@ATTRIBUTE size NUMERIC 
@ATTRIBUTE crime NUMERIC 
@ATTRIBUTE population NUMERIC 
@ATTRIBUTE prc_college NUMERIC 


@DATA 
449000 , 4 , 3 , 2023 , 3.13000011 , 13432 , 20.4099998
178340 , 2 , 1 , 1000 , 1.38999999 , 7225 , 5.86999989
318000 , 3 , 1 , 1300 , 1.38999999 , 7225 , 5.86999989
242150 , 3 , 2 , 1310 , 1.38999999 , 7225 , 5.86999989
330000 , 3 , 3 , 1670 , 5.13000011 , 13248 , 5.19000006
624900 , 4 , 2 , 2639 , 5.13000011 , 13248 , 5.19000006
210000 , 3 , 1 , 1000 , 5.13000011 , 13248 , 5.19000006
495000 , 3 , 2 , 1560 , 1.75 , 903 , 6.17000008
199280 , 3 , 1 , 1040 , 4.48000002 , 43509 , 14.1999998
255000 , 3 , 1 , 1080 , 4.48000002 , 43509 , 14.1999998
49900 , 3 , 2 , 1056 , 4.48000002 , 43509 , 14.1999998
279000 , 3 , 2 , 1244 , 4.48000002 , 43509 , 14.1999998
230000 , 3 , 2 , 1247 , 4.48000002 , 43509 , 14.1999998
229900 , 3 , 2 , 1263 , 4.48000002 , 43509 , 14.1999998
250000 , 3 , 2 , 1261 , 4.48000002 , 43509 , 14.1999998
189000 , 3 , 2 , 1256 , 4.48000002 , 43509 , 14.1999998
220000 , 3 , 2 , 1390 , 4.48000002 , 43509 , 14.1999998
272000 , 3 , 2 , 1573 , 4.48000002 , 43509 , 14.1999998
333900 , 3 , 2 , 1603 , 4.48000002 , 43509 , 14.1999998
329000 , 3 , 2 , 1662 , 4.48000002 , 43509 , 14.1999998
343390 , 3 , 2 , 1658 , 4.48000002 , 43509 , 14.1999998
456000 , 3 , 2 , 1770 , 4.48000002 , 43509 , 14.1999998
185000 , 3 , 3 , 1448 , 4.48000002 , 43509 , 14.1999998
369000 , 3 , 3 , 1740 , 4.48000002 , 43509 , 14.1999998
403900 , 3 , 3 , 2386 , 4.48000002 , 43509 , 14.1999998
270000 , 4 , 2 , 1237 , 4.48000002 , 43509 , 14.1999998
285000 , 4 , 2 , 1220 , 4.48000002 , 43509 , 14.1999998
280000 , 4 , 2 , 1237 , 4.48000002 , 43509 , 14.1999998
315000 , 4 , 2 , 1400 , 4.48000002 , 43509 , 14.1999998
301500 , 4 , 2 , 1410 , 4.48000002 , 43509 , 14.1999998
285000 , 4 , 2 , 1688 , 4.48000002 , 43509 , 14.1999998
568000 , 4 , 3 , 3150 , 4.48000002 , 43509 , 14.1999998
612900 , 4 , 3 , 3200 , 4.48000002 , 43509 , 14.1999998
109000 , 1 , 1 , 600 , 2.38000011 , 14276 , 37.6699982
373500 , 2 , 1 , 780 , 2.38000011 , 14276 , 37.6699982
349000 , 2 , 1 , 800 , 2.38000011 , 14276 , 37.6699982
415000 , 2 , 2 , 952 , 2.38000011 , 14276 , 37.6699982
437500 , 2 , 2 , 892 , 2.38000011 , 14276 , 37.6699982
489900 , 2 , 2 , 1088 , 2.38000011 , 14276 , 37.6699982
437000 , 2 , 2 , 1300 , 2.38000011 , 14276 , 37.6699982
499950 , 2 , 2 , 1396 , 2.38000011 , 14276 , 37.6699982
479000 , 3 , 2 , 980 , 2.38000011 , 14276 , 37.6699982
429000 , 3 , 2 , 1171 , 2.38000011 , 14276 , 37.6699982
423000 , 3 , 2 , 1159 , 2.38000011 , 14276 , 37.6699982
435000 , 3 , 2 , 1297 , 2.38000011 , 14276 , 37.6699982
450000 , 3 , 2 , 1492 , 2.38000011 , 14276 , 37.6699982
459000 , 3 , 2 , 1535 , 2.38000011 , 14276 , 37.6699982
679000 , 3 , 2 , 1800 , 2.38000011 , 14276 , 37.6699982
549000 , 3 , 2 , 1953 , 2.38000011 , 14276 , 37.6699982
639000 , 3 , 2 , 2144 , 2.38000011 , 14276 , 37.6699982
522000 , 3 , 3 , 1529 , 2.38000011 , 14276 , 37.6699982
598500 , 3 , 3 , 2100 , 2.38000011 , 14276 , 37.6699982
845000 , 3 , 3 , 2550 , 2.38000011 , 14276 , 37.6699982
974000 , 3 , 3 , 2840 , 2.38000011 , 14276 , 37.6699982
971840 , 3 , 3 , 3374 , 2.38000011 , 14276 , 37.6699982
2499000 , 6 , 7 , 5126 , 2.38000011 , 14276 , 37.6699982
395000 , 2 , 2 , 1200 , 3.05999994 , 10461 , 36.2200012
549000 , 3 , 2 , 1177 , 3.05999994 , 10461 , 36.2200012
590000 , 3 , 3 , 1341 , 3.05999994 , 10461 , 36.2200012
700000 , 2 , 2 , 1408 , 3.05999994 , 10461 , 36.2200012
895000 , 3 , 3 , 1550 , 3.05999994 , 10461 , 36.2200012
785000 , 2 , 2 , 1563 , 3.05999994 , 10461 , 36.2200012
495000 , 4 , 2 , 1800 , 3.05999994 , 10461 , 36.2200012
694000 , 4 , 2 , 2245 , 3.05999994 , 10461 , 36.2200012
735000 , 3 , 3 , 2016 , 3.05999994 , 10461 , 36.2200012
694000 , 3 , 3 , 2068 , 3.05999994 , 10461 , 36.2200012
750000 , 3 , 2 , 2274 , 3.05999994 , 10461 , 36.2200012
849500 , 3 , 3 , 2402 , 3.05999994 , 10461 , 36.2200012
1340000 , 4 , 3 , 3200 , 3.05999994 , 10461 , 36.2200012
1550000 , 4 , 4 , 3400 , 3.05999994 , 10461 , 36.2200012
5500000 , 4 , 3 , 3780 , 3.05999994 , 10461 , 36.2200012
89100 , 3 , 1 , 1056 , 6.63000011 , 517 , 18.2999992
225000 , 2 , 2 , 840 , 2.63000011 , 16714 , 24.8500004
159000 , 3 , 1 , 1000 , 2.63000011 , 16714 , 24.8500004
359000 , 2 , 2 , 980 , 2.63000011 , 16714 , 24.8500004
379000 , 3 , 2 , 1100 , 2.63000011 , 16714 , 24.8500004
350000 , 3 , 2 , 1106 , 2.63000011 , 16714 , 24.8500004
374900 , 3 , 1 , 1100 , 2.63000011 , 16714 , 24.8500004
380000 , 3 , 2 , 1128 , 2.63000011 , 16714 , 24.8500004
680000 , 2 , 2 , 1200 , 2.63000011 , 16714 , 24.8500004
425000 , 4 , 2 , 1284 , 2.63000011 , 16714 , 24.8500004
345000 , 4 , 2 , 1344 , 2.63000011 , 16714 , 24.8500004
550000 , 3 , 2 , 1328 , 2.63000011 , 16714 , 24.8500004
